type,White,"Black or African American","American Indian or Alaska Native",Asian,"Native Hawaiian or Other Pacific Islander","Group of multiple races","Unknown race"
Murder and nonnegligent manslaughter,40,5,0,0,0,0,5
Rape,12,13,0,0,0,1,1
Aggravated assault,631,295,15,5,7,55,65
Simple assault,1023,505,27,15,7,109,146
Intimidation,1132,343,17,20,4,52,122
Human Trafficking Commercial Sex Acts,3,0,0,0,0,0,0
Other,24,10,0,0,0,1,3
Robbery,26,48,1,2,1,15,12
Burglary,31,6,1,1,0,2,5
Larceny-theft,83,36,2,0,0,4,12
Motor vehicle theft,6,1,0,0,0,0,0
Arson,20,4,0,0,0,1,6
Destruction/ damage/ vandalism,345,74,6,9,0,26,404
Other ,21,4,0,1,0,0,2
Crimes against society,167,41,7,4,0,2,1